,factor,sigma,std
2287,1.4522222222222223,0.3527272727272728,0.6306253322715838
2288,1.4522222222222223,0.3566666666666667,0.6322203204260248
2289,1.4522222222222223,0.36060606060606065,0.8027513138332928
2290,1.4522222222222223,0.36454545454545456,0.6674269437821246
2291,1.4522222222222223,0.3684848484848485,0.7211388613194932
2292,1.4522222222222223,0.37242424242424244,1.0430094050701684
2293,1.4522222222222223,0.3763636363636364,0.7226904808032508
2294,1.4522222222222223,0.3803030303030303,0.8309453487984076
2295,1.4522222222222223,0.3842424242424243,0.7604168513760413
2296,1.4522222222222223,0.3881818181818182,0.8878197262414534
2297,1.4522222222222223,0.39212121212121215,0.9025069659696041
2298,1.4522222222222223,0.3960606060606061,0.9252537260550279
2299,1.4522222222222223,0.4,0.948778885194567
2300,1.4723232323232325,0.01,0.010513119680873331
2301,1.4723232323232325,0.013939393939393939,0.014659395884641588
2302,1.4723232323232325,0.01787878787878788,0.018985660510851456
2303,1.4723232323232325,0.02181818181818182,0.02298404330611649
2304,1.4723232323232325,0.025757575757575757,0.02721476568490966
2305,1.4723232323232325,0.0296969696969697,0.031728905301723266
2306,1.4723232323232325,0.03363636363636364,0.03545549492656328
2307,1.4723232323232325,0.037575757575757575,0.04026019362155342
2308,1.4723232323232325,0.04151515151515152,0.043551711217743094
2309,1.4723232323232325,0.045454545454545456,0.04911473412198807
2310,1.4723232323232325,0.0493939393939394,0.053292351600846354
2311,1.4723232323232325,0.05333333333333334,0.05723733907644564
2312,1.4723232323232325,0.057272727272727274,0.062168267886168714
2313,1.4723232323232325,0.06121212121212122,0.06647972921326584
2314,1.4723232323232325,0.06515151515151515,0.06947644270911629
2315,1.4723232323232325,0.06909090909090909,0.07441887189528151
2316,1.4723232323232325,0.07303030303030303,0.08069049162365513
2317,1.4723232323232325,0.07696969696969697,0.08456303412028358
2318,1.4723232323232325,0.0809090909090909,0.0874304910179842
2319,1.4723232323232325,0.08484848484848485,0.09359716601796832
2320,1.4723232323232325,0.08878787878787879,0.09679249574444226
2321,1.4723232323232325,0.09272727272727273,0.10496789948705591
2322,1.4723232323232325,0.09666666666666666,0.10630094329448649
2323,1.4723232323232325,0.1006060606060606,0.11605256992050204
2324,1.4723232323232325,0.10454545454545454,0.1171614305097586
2325,1.4723232323232325,0.10848484848484849,0.12373167975667161
2326,1.4723232323232325,0.11242424242424243,0.12714171506077795
2327,1.4723232323232325,0.11636363636363636,0.1340371464422147
2328,1.4723232323232325,0.1203030303030303,0.14121209732658013
2329,1.4723232323232325,0.12424242424242424,0.1468107291766599
2330,1.4723232323232325,0.1281818181818182,0.14877247721656395
2331,1.4723232323232325,0.13212121212121214,0.1515578516029017
2332,1.4723232323232325,0.13606060606060608,0.16630492481931916
2333,1.4723232323232325,0.14,0.1658150462603262
2334,1.4723232323232325,0.14393939393939395,0.17615466952207232
2335,1.4723232323232325,0.1478787878787879,0.17942619218529274
2336,1.4723232323232325,0.15181818181818182,0.18105449166675508
2337,1.4723232323232325,0.15575757575757576,0.18228709104233837
2338,1.4723232323232325,0.15969696969696973,0.19758277140490835
2339,1.4723232323232325,0.16363636363636366,0.20919425477523573
2340,1.4723232323232325,0.1675757575757576,0.21502503448613192
2341,1.4723232323232325,0.17151515151515154,0.21202755339522467
2342,1.4723232323232325,0.17545454545454547,0.22529279774540942
2343,1.4723232323232325,0.1793939393939394,0.24276634730161264
2344,1.4723232323232325,0.18333333333333335,0.23666628546211063
2345,1.4723232323232325,0.18727272727272729,0.2470442670043318
2346,1.4723232323232325,0.19121212121212122,0.2717314409898865
2347,1.4723232323232325,0.19515151515151516,0.2563343269882457
2348,1.4723232323232325,0.1990909090909091,0.26542784366544747
2349,1.4723232323232325,0.20303030303030306,0.27266429212134324
2350,1.4723232323232325,0.206969696969697,0.291544162420217
2351,1.4723232323232325,0.21090909090909093,0.2868187532544272
2352,1.4723232323232325,0.21484848484848487,0.2945508269068487
2353,1.4723232323232325,0.2187878787878788,0.30790941596503424
2354,1.4723232323232325,0.22272727272727275,0.2986294098513303
2355,1.4723232323232325,0.22666666666666668,0.3198509394259607
2356,1.4723232323232325,0.23060606060606062,0.3059450314620834
2357,1.4723232323232325,0.23454545454545456,0.34719207658430823
2358,1.4723232323232325,0.2384848484848485,0.35883092866315186
2359,1.4723232323232325,0.24242424242424246,0.3476036849247568
2360,1.4723232323232325,0.2463636363636364,0.37059839734429173
2361,1.4723232323232325,0.2503030303030303,0.37387548715197105
2362,1.4723232323232325,0.25424242424242427,0.4131321999744175
2363,1.4723232323232325,0.2581818181818182,0.37721612120725145
2364,1.4723232323232325,0.26212121212121214,0.4139304739185679
2365,1.4723232323232325,0.2660606060606061,0.39859150218325756
2366,1.4723232323232325,0.27,0.40400524898649426
2367,1.4723232323232325,0.273939393939394,0.4325589958013159
2368,1.4723232323232325,0.2778787878787879,0.43432438824928155
2369,1.4723232323232325,0.28181818181818186,0.4481131863288827
2370,1.4723232323232325,0.28575757575757577,0.45384552012424884
2371,1.4723232323232325,0.28969696969696973,0.50798113618388
2372,1.4723232323232325,0.29363636363636364,0.47452796304798056
2373,1.4723232323232325,0.2975757575757576,0.5512733343220046
2374,1.4723232323232325,0.3015151515151515,0.47545588670800876
2375,1.4723232323232325,0.3054545454545455,0.536607434401371
2376,1.4723232323232325,0.30939393939393944,0.5462515099378756
2377,1.4723232323232325,0.31333333333333335,0.5588678114046141
2378,1.4723232323232325,0.3172727272727273,0.5978906492433343
2379,1.4723232323232325,0.3212121212121212,0.5659103302132041
2380,1.4723232323232325,0.3251515151515152,0.6205097169519
2381,1.4723232323232325,0.3290909090909091,0.5980664076311881
2382,1.4723232323232325,0.33303030303030307,0.620514773285366
2383,1.4723232323232325,0.336969696969697,0.6720211378388389
2384,1.4723232323232325,0.34090909090909094,0.610370158135995
2385,1.4723232323232325,0.34484848484848485,0.681031911737744
2386,1.4723232323232325,0.3487878787878788,0.815801056458799
2387,1.4723232323232325,0.3527272727272728,0.7460643067866602
2388,1.4723232323232325,0.3566666666666667,0.672284686944282
2389,1.4723232323232325,0.36060606060606065,0.7697939601993457
2390,1.4723232323232325,0.36454545454545456,1.1639864420415484
2391,1.4723232323232325,0.3684848484848485,0.8893383997724765
2392,1.4723232323232325,0.37242424242424244,0.8616293653166279
2393,1.4723232323232325,0.3763636363636364,1.003281394246141
2394,1.4723232323232325,0.3803030303030303,0.7661658607487342
2395,1.4723232323232325,0.3842424242424243,0.8445879752952814
2396,1.4723232323232325,0.3881818181818182,0.8821706957024631
2397,1.4723232323232325,0.39212121212121215,0.9625873234380377
2398,1.4723232323232325,0.3960606060606061,0.9100699893619044
2399,1.4723232323232325,0.4,0.9089382823907828
2400,1.4924242424242424,0.01,0.011034219476639032
2401,1.4924242424242424,0.013939393939393939,0.01531986631689417
2402,1.4924242424242424,0.01787878787878788,0.01960974032289158
2403,1.4924242424242424,0.02181818181818182,0.024059710201277732
2404,1.4924242424242424,0.025757575757575757,0.028300187453637465
2405,1.4924242424242424,0.0296969696969697,0.03264809714353777
2406,1.4924242424242424,0.03363636363636364,0.03747588484227197
2407,1.4924242424242424,0.037575757575757575,0.0417541871045649
2408,1.4924242424242424,0.04151515151515152,0.046404213504143366
2409,1.4924242424242424,0.045454545454545456,0.05006698510336256
2410,1.4924242424242424,0.0493939393939394,0.05541463047892079
2411,1.4924242424242424,0.05333333333333334,0.059729410094771444
2412,1.4924242424242424,0.057272727272727274,0.06422538104172645
2413,1.4924242424242424,0.06121212121212122,0.0688941100049251
2414,1.4924242424242424,0.06515151515151515,0.07441698792932333
2415,1.4924242424242424,0.06909090909090909,0.07725710383771182
2416,1.4924242424242424,0.07303030303030303,0.08358167805312254
2417,1.4924242424242424,0.07696969696969697,0.08627277944213507
2418,1.4924242424242424,0.0809090909090909,0.09413220474984266
2419,1.4924242424242424,0.08484848484848485,0.0959266211917161
2420,1.4924242424242424,0.08878787878787879,0.10201465918144663
2421,1.4924242424242424,0.09272727272727273,0.10904667302466992
2422,1.4924242424242424,0.09666666666666666,0.11598024137925446
2423,1.4924242424242424,0.1006060606060606,0.11831675625557976
2424,1.4924242424242424,0.10454545454545454,0.12478575743615984
2425,1.4924242424242424,0.10848484848484849,0.12690878018365018
2426,1.4924242424242424,0.11242424242424243,0.13433669952217303
2427,1.4924242424242424,0.11636363636363636,0.1411733138758975
2428,1.4924242424242424,0.1203030303030303,0.1416051984308972
2429,1.4924242424242424,0.12424242424242424,0.15072088616255075
2430,1.4924242424242424,0.1281818181818182,0.15657050380084306
2431,1.4924242424242424,0.13212121212121214,0.15872654771224354
2432,1.4924242424242424,0.13606060606060608,0.1731186483058721
2433,1.4924242424242424,0.14,0.17301694325823677
2434,1.4924242424242424,0.14393939393939395,0.18283491156291964
2435,1.4924242424242424,0.1478787878787879,0.18242515346927976
2436,1.4924242424242424,0.15181818181818182,0.19091003860074532
2437,1.4924242424242424,0.15575757575757576,0.2008981617711328
2438,1.4924242424242424,0.15969696969696973,0.20208191972301073
2439,1.4924242424242424,0.16363636363636366,0.21370989445560096
2440,1.4924242424242424,0.1675757575757576,0.22546946800066092
2441,1.4924242424242424,0.17151515151515154,0.22606828129485623
2442,1.4924242424242424,0.17545454545454547,0.2404973623859327
2443,1.4924242424242424,0.1793939393939394,0.24346376882285478
2444,1.4924242424242424,0.18333333333333335,0.2457024560689227
2445,1.4924242424242424,0.18727272727272729,0.25277155592001677
2446,1.4924242424242424,0.19121212121212122,0.2691647754566791
2447,1.4924242424242424,0.19515151515151516,0.2756466841038628
2448,1.4924242424242424,0.1990909090909091,0.27794558081830817
2449,1.4924242424242424,0.20303030303030306,0.2898375021925301
2450,1.4924242424242424,0.206969696969697,0.29019285000569006
2451,1.4924242424242424,0.21090909090909093,0.3053973626745717
2452,1.4924242424242424,0.21484848484848487,0.3127830950436233
